url,python,js,ruby,c++,java,c,css,html,tsql,C#,php,shell
abrn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
bianyujiyi,0,0,0,0,0,0,0,0,0,0,0,0
emin002,0,0,0,0,0,0,0,0,0,0,0,0
dimitri12,0.375,0.25,0.0,0.25,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
aquanebula,0,0,0,0,0,0,0,0,0,0,0,0
erbayc,0,0,0,0,0,0,0,0,0,0,0,0
lizapovalyaevaa,0,0,0,0,0,0,0,0,0,0,0,0
dealrest,0,0,0,0,0,0,0,0,0,0,0,0
Marion11,0,0,0,0,0,0,0,0,0,0,0,0
xujianghui,0,0,0,0,0,0,0,0,0,0,0,0
sh-hannes,0,0,0,0,0,0,0,0,0,0,0,0
jonathanlcg,0,0,0,0,0,0,0,0,0,0,0,0
mrussett,0,0,0,0,0,0,0,0,0,0,0,0
Nitu-Inhouse,0,0,0,0,0,0,0,0,0,0,0,0
plusgarden,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AmariPe,0,0,0,0,0,0,0,0,0,0,0,0
pradeep3k,0,0,0,0,0,0,0,0,0,0,0,0
CSGO-Analysis,0.05555555555555555,0.3888888888888889,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.2222222222222222,0.05555555555555555,0.05555555555555555
tb2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Zest-jayakrishna,0,0,0,0,0,0,0,0,0,0,0,0
rangelda,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
JohnDoe31,0,0,0,0,0,0,0,0,0,0,0,0
jonnym14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mediastew,0,0,0,0,0,0,0,0,0,0,0,0
seraph758,0,0,0,0,0,0,0,0,0,0,0,0
ravichandan,0.16666666666666666,0.16666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stasken,0,0,0,0,0,0,0,0,0,0,0,0
TulikaA,0,0,0,0,0,0,0,0,0,0,0,0
wouttotti,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0
house-of-bias,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
YnasMidgard,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ChrisHolter,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EvansMatthew97,0.0,0.625,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.25,0.0
DuLiangMin,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zest-pradeep,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
richieg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
pgodw4,0,0,0,0,0,0,0,0,0,0,0,0
Rajesh9816434412,0,0,0,0,0,0,0,0,0,0,0,0
kimsunxio,0,0,0,0,0,0,0,0,0,0,0,0
born2gamingFR,0,0,0,0,0,0,0,0,0,0,0,0
helpmycode,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
markisayan,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoMCa141,0,0,0,0,0,0,0,0,0,0,0,0
mszmelo,0,0,0,0,0,0,0,0,0,0,0,0
RadeIlic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Filipp1232,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ultimate7-pc,0,0,0,0,0,0,0,0,0,0,0,0
rashean,0,0,0,0,0,0,0,0,0,0,0,0
th3-j0k3r,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25
MAHESHMISHRA99350,0,0,0,0,0,0,0,0,0,0,0,0
nekotleta,0.6,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ikidou,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zest-nihar,0,0,0,0,0,0,0,0,0,0,0,0
qqwwee456,0,0,0,0,0,0,0,0,0,0,0,0
indonesiaVHS,0,0,0,0,0,0,0,0,0,0,0,0
JenOofa,0,0,0,0,0,0,0,0,0,0,0,0
happyc,0,0,0,0,0,0,0,0,0,0,0,0
joseph741knpsbl,0,0,0,0,0,0,0,0,0,0,0,0
damt94,0,0,0,0,0,0,0,0,0,0,0,0
marcobuescher,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
nsweet29,0,0,0,0,0,0,0,0,0,0,0,0
iNox292,0,0,0,0,0,0,0,0,0,0,0,0
ellenzweibel,0,0,0,0,0,0,0,0,0,0,0,0
hendra78,0,0,0,0,0,0,0,0,0,0,0,0
sbmeunier,0,0,0,0,0,0,0,0,0,0,0,0
PatrixML,0,0,0,0,0,0,0,0,0,0,0,0
shivanisareensingla16,0,0,0,0,0,0,0,0,0,0,0,0
DebravdH,0,0,0,0,0,0,0,0,0,0,0,0
gabriela199930,0,0,0,0,0,0,0,0,0,0,0,0
fiz52un8,0,0,0,0,0,0,0,0,0,0,0,0
knightskye01,0,0,0,0,0,0,0,0,0,0,0,0
MegusJohnson,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
robrain,0,0,0,0,0,0,0,0,0,0,0,0
zdhbciyg,0,0,0,0,0,0,0,0,0,0,0,0
aiouh,0,0,0,0,0,0,0,0,0,0,0,0
newrajneesh,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemessuriernb,0,0,0,0,0,0,0,0,0,0,0,0
hprager,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
alchilito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DavidCanche,0,0,0,0,0,0,0,0,0,0,0,0
growingscripters,0,0,0,0,0,0,0,0,0,0,0,0
lucianozanita,0,0,0,0,0,0,0,0,0,0,0,0
Goliath25,0,0,0,0,0,0,0,0,0,0,0,0
macio6962,0,0,0,0,0,0,0,0,0,0,0,0
halestorm962,0.0,0.15384615384615385,0.0,0.0,0.6153846153846154,0.15384615384615385,0.0,0.07692307692307693,0.0,0.0,0.0,0.0
pu1qa4y6,0,0,0,0,0,0,0,0,0,0,0,0
debolinachk,0,0,0,0,0,0,0,0,0,0,0,0
